Currency	User ID	User Name	Platform	Game Type	Bet Count	Valid Turnover	Bet Amount	Total Bet	Jackpot Contribution	Jackpot Win	Player Win/Loss	Player Adjustment	Player Total P/L	Player Margin(%)	Agent Win/Loss	Agent Adjustment	Agent Total P/L	MasterAgent Win/Loss	MasterAgent Adjustment	MasterAgent Total P/L	Manager Win/Loss	Manager Adjustment	Manager Total P/L	Company Total P/L	Remark
MYR	allbet95ms(SV)MYR	allbet95	SV388	LIVE	15	343.50	329.60	345.00	-	0.00	124.90	0.00	124.90	36.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-124.90	
MYR	allbet95ms(KM)MYR	allbet95	KINGMIDAS	TABLE	269	675.00	1253.00	648.00	-	0.00	-93.67	0.00	-93.67	-13.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	93.67	
MYR	allbet95ms(SEXY)MYR	allbet95	SEXY CASINO	LIVE	67871	713787.00	772396.00	772396.00	-	0.00	-8766.35	0.00	-8766.35	-1.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8766.35	
MYR	gams(SV)MYR	717a	SV388	LIVE	13692	172564.95	178951.95	184268.00	-	0.00	-6349.88	0.00	-6349.88	-3.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6349.88	
HKD	kk7awcms(SEXY)HKD	717a	SEXY CASINO	LIVE	160	4346.00	4730.00	4730.00	-	0.00	687.40	0.00	687.40	15.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-687.40	
MYR	kk7awcms(HB)MYR	717a	HORSEBOOK	LIVE	13	320.00	320.00	320.00	-	0.00	88.40	0.00	88.40	27.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-88.40	
AUD	kk7awcms(SEXY)AUD	717a	SEXY CASINO	LIVE	5820	125088.10	136791.00	136791.00	-	0.00	-6697.94	0.00	-6697.94	-5.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6697.94	
MYR	kk7awcms(SV)MYR	717a	SV388	LIVE	11266	159579.32	165061.36	171389.00	-	0.00	-10956.96	0.00	-10956.96	-6.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10956.96	
MYR	kk7awcms(SEXY)MYR	717a	SEXY CASINO	LIVE	37396	872481.00	941120.00	941120.00	-	0.00	-21231.55	0.00	-21231.55	-2.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	21231.55	
USD	kk7awcms2(SV)USD	kk7	SV388	LIVE	411	1656.61	1800.42	1833.00	-	0.00	84.42	0.00	84.42	5.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-84.42	
MYR	kk7awcms2(SV)MYR	kk7	SV388	LIVE	478	10861.39	11632.02	12328.00	-	0.00	-844.71	0.00	-844.71	-7.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	844.71	
MYR	kzawcms(KM)MYR	KZ999	KINGMIDAS	TABLE	36	44.00	44.00	44.00	-	0.00	-16.90	0.00	-16.90	-38.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.90	
MYR	kzawcms(SEXY)MYR	KZ999	SEXY CASINO	LIVE	14	94.00	94.00	94.00	-	0.00	-60.25	0.00	-60.25	-64.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	60.25	
MYR	kzawcms(SV)MYR	KZ999	SV388	LIVE	61	497.37	502.12	513.00	-	0.00	-124.06	0.00	-124.06	-24.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	124.06	
